address,aka_name,facility_type,inspection_date,inspection_id,inspection_type,latitude,license_,longitude,results,risk,violation_count,average_violations_per_inspection,times_inspected
2639 S DAMEN AVE ,"OFRENDA, INC.",Restaurant,2019-09-16,2312314,Canvass,41.843618878617896,2627322.0,-87.67547236453608,Pass w/ Conditions,Risk 1 (High),7,,
3445 W 51ST ST ,HUARACHES & QUESADILLAS MAMA QUINA,Restaurant,2019-09-16,2312378,Canvass,41.80061941881158,2569868.0,-87.71045584912062,Pass w/ Conditions,Risk 1 (High),3,,
4815 S KARLOV ,EDWARDS (ANNEX),School,2019-09-16,2312339,Canvass,41.8055232490546,2040683.0,-87.7258189250839,Out of Business,Risk 1 (High),0,,
6901 S NORMAL BLVD ,#1 DELI,Grocery Store,2019-09-16,2312319,License,41.76886618832226,2657753.0,-87.63709545616062,Pass w/ Conditions,Risk 1 (High),3,,
948 W NEWPORT AVE ,SMOOTHIE JOINT,Restaurant,2019-09-16,2312328,License,41.94457106068293,2608331.0,-87.65378324443094,Fail,Risk 2 (Medium),9,,
6158 N CLARK ST ,ALEXANDER'S RESTAURANT,Restaurant,2019-09-16,2312330,Canvass,41.994391180074615,10916.0,-87.67029582459736,Out of Business,Risk 1 (High),0,,
4110 W Peterson AVE ,THE LEARNING EXPERIENCE,Children's Services Facility,2019-09-16,2312318,License,41.9902048994482,2516680.0,-87.73177133891329,Fail,Risk 1 (High),1,,
65 E ADAMS ST ,OPUS,Restaurant,2019-09-16,2312327,License Re-Inspection,41.87942967304209,2677669.0,-87.62527091340576,Pass w/ Conditions,Risk 1 (High),8,,
2350 W 110 Pl (11032S) ,Clissold,School,2019-09-16,2312344,Canvass,41.69305404481716,22761.0,-87.68086190054576,Fail,Risk 2 (Medium),2,,
8301 S COTTAGE GROVE AVE ,FALCON FUEL,,2019-09-16,2312359,License,41.74387991306119,2683391.0,-87.60488313899565,Not Ready,Risk 3 (Low),0,,
6901 S NORMAL BLVD ,"31 DELI, INC",Grocery Store,2019-09-16,2312324,Canvass,41.76886618832226,2501188.0,-87.63709545616062,Out of Business,Risk 2 (Medium),0,,
4217-4219 N RAVENSWOOD AVE ,EL ROJO GUSANO II,Restaurant,2019-09-16,2312379,Canvass Re-Inspection,41.95842479853341,2569420.0,-87.6737427755797,Pass w/ Conditions,Risk 1 (High),13,,
6158 N CLARK ST ,ALEXANDER'S,Restaurant,2019-09-16,2312317,License,41.994391180074615,2684666.0,-87.67029582459736,Fail,Risk 1 (High),10,,
1451 W 18TH ST ,"COYOTES RESTAURANT, INC.",Restaurant,2019-09-16,2312331,Canvass,41.85773127336358,2022125.0,-87.66335577631256,Pass w/ Conditions,Risk 1 (High),7,,
4815 S Karlov ,Edwards main and annex building,School,2019-09-16,2312322,Canvass,41.8055232490546,23081.0,-87.7258189250839,Pass w/ Conditions,Risk 1 (High),5,,
1753 N MILWAUKEE AVE ,ALDI INC #64,Grocery Store,2019-09-16,2312313,Complaint Re-Inspection,41.91334246823247,13976.0,-87.68182248081257,Fail,Risk 3 (Low),7,,
3349 N SHEFFIELD AVE ,BOLIVAR Y LINCOLN VENEZUELAN,Restaurant,2019-09-16,2312349,License Re-Inspection,41.94319768420913,2689697.0,-87.65405954840116,Pass w/ Conditions,Risk 1 (High),4,,
2335 N CICERO AVE ,ISLA TROPICAL,Mobile Frozen Desserts Vendor,2019-09-16,2312323,License,41.92349095750785,2211455.0,-87.74613233682379,Not Ready,Risk 3 (Low),0,,
3706 N HALSTED ST ,SALSITA,Restaurant,2019-09-16,2312419,Canvass,41.949338131952636,2289529.0,-87.64969635420978,Fail,Risk 1 (High),11,,
9241 S Leavitt (2200W) ,KELLOGG ELEMENTARY SCHOOL,School,2019-09-16,2312320,Canvass,41.725253146146656,23971.0,-87.67719555499882,Fail,Risk 2 (Medium),4,,
1010 S DELANO CT ,PACINOS,Restaurant,2019-09-16,2312360,License Re-Inspection,,2683669.0,,Pass,Risk 3 (Low),0,,
514-522 W 103RD ST ,WHIZ KIDS NURSERY CENTER INC.,Daycare Above and Under 2 Years,2019-09-16,2312308,License,41.70711281268508,2215893.0,-87.6362042524256,Pass w/ Conditions,Risk 1 (High),1,,
65 E ADAMS ST ,OPUS,Restaurant,2019-09-16,2312333,License Re-Inspection,41.87942967304209,2677672.0,-87.62527091340576,Pass w/ Conditions,Risk 1 (High),0,,
65 E ADAMS ST ,OPUS,Restaurant,2019-09-16,2312332,License Re-Inspection,41.87942967304209,2677671.0,-87.62527091340576,Pass w/ Conditions,Risk 1 (High),0,,
6755 W DIVERSEY AVE ,ZAMZAM BANQUET HALL,BANQUET HALL,2019-09-16,2312383,Canvass,41.93077761669432,1493295.0,-87.79524328878185,No Entry,Risk 1 (High),0,,
5931 S KEDZIE AVE ,DUNKIN DONUTS/BASKIN ROBBINS,Restaurant,2019-09-13,2312242,Canvass,41.785340191257184,1769881.0,-87.70317432384229,Pass w/ Conditions,Risk 2 (Medium),14,,
2451 W 63RD ST ,SUPER SUB AND GYROS 2 INC.,Restaurant,2019-09-13,2312287,Canvass,41.7791184453953,2364283.0,-87.68575151846922,Pass w/ Conditions,Risk 2 (Medium),7,,
1610 N WELLS ST ,ROOTS HANDMADE PIZZA - SECOND CITY/UTOPIAN TAILGAT,Restaurant,2019-09-13,2312254,License,41.9114943677633,2689806.0,-87.63486809549644,Pass,Risk 1 (High),0,,
4818 W Ohio ,KIPP CHARTER ELEMENTARY,School,2019-09-13,2312269,Canvass Re-Inspection,41.89148296872894,3096670.0,-87.74659826352844,Pass,Risk 2 (Medium),0,,
901 W 87TH ST ,"I'M HUNGRY NOW!!, LLC",Restaurant,2019-09-13,2312304,License,41.73592705196853,2663728.0,-87.64616369258991,Fail,Risk 1 (High),11,,
3170 S ASHLAND AVE ,PIZZERIA BRANDI,Restaurant,2019-09-13,2312277,Canvass,41.83574905946485,2496153.0,-87.66584167179421,Pass w/ Conditions,Risk 1 (High),4,,
8150 S Bishop (1432W) ,COOK ELEMENTARY SCHOOL,School,2019-09-13,2312256,Canvass,41.74526283804375,22801.0,-87.65981189693636,Fail,Risk 1 (High),4,,
917 W 88th St (8800S) ,MAHALIA JACKSON ELEMENTARY SCHOOL,School,2019-09-13,2312275,Canvass Re-Inspection,41.73409817903186,26651.0,-87.64675678787916,Pass,Risk 1 (High),2,,
1912 N WESTERN AVE ,OROMO CAFE BUCKTOWN,Restaurant,2019-09-13,2312257,License,41.91618570053351,2689420.0,-87.68752368767453,Fail,Risk 1 (High),12,,
6525 W DIVERSEY AVE ,TARGET,Grocery Store,2019-09-13,2312237,Canvass Re-Inspection,41.930833915239724,1516376.0,-87.78913378754395,Pass,Risk 2 (Medium),2,,
2754 N CLYBOURN AVE ,SUBWAY SANDWICHES,Restaurant,2019-09-13,2312276,Canvass,41.93118733395421,1382934.0,-87.6770555951477,Out of Business,Risk 1 (High),0,,
2005 W ROSCOE ST ,KITSCH'N ON ROSCOE,Restaurant,2019-09-13,2312253,Canvass Re-Inspection,41.943104563544715,68487.0,-87.67867885196077,Pass,Risk 1 (High),1,,
2059 W 21ST ST ,FOXGLOVE COFFEE,Restaurant,2019-09-13,2312234,License,41.85386830200632,2689695.0,-87.67821915483191,Pass w/ Conditions,Risk 2 (Medium),3,,
4128 N LINCOLN AVE ,TAVERN ON LITTLEFORT,Restaurant,2019-09-13,2312238,Canvass Re-Inspection,41.95677163177934,1247262.0,-87.68075733672262,Pass,Risk 1 (High),2,,
525 S STATE ST ,PANERA BREAD #1004,Restaurant,2019-09-13,2312261,Canvass,41.875179056057796,1648670.0,-87.6274737894488,Fail,Risk 1 (High),2,,
5030 S KEDZIE AVE ,CHUCK 'E' CHEESE'S,Restaurant,2019-09-13,2312296,Canvass,41.80167003483172,41897.0,-87.70393836191948,Pass,Risk 1 (High),1,,
3645 W CHICAGO AVE ,ROWE-CLARK MATH & SCIENCE ACADEMY,School,2019-09-13,2312255,Canvass,41.89533477965775,2202622.0,-87.71805030259755,Pass,Risk 1 (High),2,,
2500 N LARAMIE AVE ,CARNITAS Y SUPERMERCADO EL GIGANTE INC,Grocery Store,2019-09-13,2312251,Canvass Re-Inspection,41.926006426860745,1592986.0,-87.75636298203146,Pass w/ Conditions,Risk 1 (High),10,,
2520 S HOYNE AVE ,THE GERAGHTY,Banquet,2019-09-13,2312247,Canvass,41.84607803530318,2363811.0,-87.67825009589393,Pass,Risk 1 (High),0,,
2917 N CICERO AVE ,CHINKAY,Restaurant,2019-09-13,2312236,License,41.93387296117733,2689944.0,-87.74653841434738,Fail,Risk 1 (High),20,,
3970 N ELSTON AVE ,J.T.'S GENUINE SANDWICH,,2019-09-13,2312291,License,41.95337788158545,2689893.0,-87.71884823371836,Not Ready,All,0,,
1101 W BRYN MAWR AVE ,SUBWAY,Restaurant,2019-09-13,2312232,Complaint Re-Inspection,41.98354699451272,2121132.0,-87.65810608824604,Pass,Risk 1 (High),0,,
628 S CLARK ST ,PAT'S PIZZA,Restaurant,2019-09-12,2312225,Canvass,41.87396103697072,1817276.0,-87.63080445228692,Pass w/ Conditions,Risk 1 (High),8,,
2949 W ADDISON AVE ,PANDA EXPRESS,Restaurant,2019-09-12,2312180,Canvass,41.94654251477401,2360157.0,-87.70247583120907,Pass w/ Conditions,Risk 1 (High),4,,
4739 N DAMEN AVE ,BUDACKIS DRIVE-IN HOT DOGS,Restaurant,2019-09-12,2312207,Canvass,41.96807497181902,1495075.0,-87.67901960462584,Fail,Risk 1 (High),7,,
4874 N LINCOLN AVE ,KIDDIE ACADEMY OF CHICAGO-LINCOLN SQUARE,Children's Services Facility,2019-09-12,2312163,License,41.970550218072056,2684069.0,-87.68993650758068,Fail,Risk 1 (High),8,,
3817-3819 N ASHLAND AVE ,ZIA'S LAGO VISTA,Restaurant,2019-09-12,2312223,Complaint,41.951186412380856,2221636.0,-87.66882564060083,Fail,Risk 1 (High),18,,
3612 W WRIGHTWOOD AVE ,STEPPING STONES NURSERY SCHOOL,Children's Services Facility,2019-09-12,2312288,Canvass,41.928357625188326,2394824.0,-87.71762470274635,No Entry,Risk 1 (High),0,,
3404 N CLARK ST ,IRIE TAVERN,Restaurant,2019-09-12,2312181,Canvass Re-Inspection,41.94364614899897,2422801.0,-87.65382313998201,Pass w/ Conditions,Risk 1 (High),5,,
233 S WACKER DR ,BROWN BAG SEAFOOD CO.,Restaurant,2019-09-12,2312144,License,41.87856015362371,2677149.0,-87.63652387205532,Pass,Risk 1 (High),1,,
1523 W TAYLOR ST ,CAMPUS MARKET,,2019-09-12,2312182,License,41.869175484822186,2684853.0,-87.66506632408527,No Entry,All,0,,
2148 W CERMAK RD ,WAGNERS BAKERY,Bakery,2019-09-12,2312145,Canvass,41.85221557746692,2303640.0,-87.68024387885436,Pass w/ Conditions,Risk 2 (Medium),6,,
2732 W DEVON AVE ,MERCY ASIAN FOOD,Grocery Store,2019-09-12,2312153,License,41.9976889995745,2689937.0,-87.69849448888156,Pass w/ Conditions,Risk 3 (Low),4,,
1644 E HYDE PARK BLVD ,REGENTS MARKETS,Grocery Store,2019-09-12,2312168,License,41.802630048269855,2641483.0,-87.58447171338365,Fail,Risk 3 (Low),0,,
1644 E HYDE PARK BLVD ,REGENTS MARKETS,Grocery Store,2019-09-12,2312154,License,41.802630048269855,2641480.0,-87.58447171338365,Fail,Risk 3 (Low),5,,
700-702 N WELLS ST ,,,2019-09-12,2312160,License,41.89483049188808,2683659.0,-87.63430053853016,Not Ready,Risk 3 (Low),0,,
2337 N MILWAUKEE AVE FL 1,2337 MILWAUKEE,EVENT SPACE,2019-09-12,2312155,License,41.92375996879354,2689051.0,-87.69851607944803,Fail,Risk 3 (Low),9,,
5141 S KEDZIE AVE ,EL CONDE S.A.,Restaurant,2019-09-12,2312187,Canvass,41.799597459689494,2293923.0,-87.7035849555802,Pass w/ Conditions,Risk 1 (High),4,,
700-702 N WELLS ST ,,,2019-09-12,2312159,License,41.89483049188808,2683658.0,-87.63430053853016,Not Ready,Risk 3 (Low),0,,
70 W MADISON ST ,THE LUNCHROOM,Restaurant,2019-09-12,2312195,License,41.88209336730132,2677462.0,-87.63039164462683,Pass,Risk 3 (Low),0,,
4748 N KENNETH AVE ,YEMEN RESTAURANT,Restaurant,2019-09-12,2312212,License Re-Inspection,41.967667844732325,2652969.0,-87.74018351190563,Pass,Risk 1 (High),4,,
5247-5249 W BELMONT AVE ,LUNA LLENA SPORTS GRILL,Restaurant,2019-09-12,2312186,Canvass Re-Inspection,41.93856565739177,2496427.0,-87.75855584047643,Pass w/ Conditions,Risk 1 (High),3,,
2128 W CERMAK RD ,GHIN KHAO EAT RICE,Restaurant,2019-09-12,2312167,Canvass,41.85222860979845,2609440.0,-87.67948332568865,Pass w/ Conditions,Risk 1 (High),4,,
2008 W ROSCOE ST ,VOLO RESTAURANT,Restaurant,2019-09-12,2312147,Canvass,41.94332263059663,1542917.0,-87.67884909733532,Pass w/ Conditions,Risk 1 (High),6,,
3152-3154 W MONTROSE AVE ,TAQUERIA EL AGUILA REAL,Restaurant,2019-09-12,2312202,Canvass,41.96129816173357,33511.0,-87.70795210214148,Pass w/ Conditions,Risk 1 (High),11,,
4324 W 63RD ST ,La PALOMA GROCERY STORE,Grocery Store,2019-09-12,2312184,Canvass Re-Inspection,41.77866865107635,2059922.0,-87.73115964657633,Pass w/ Conditions,Risk 2 (Medium),2,,
4739 N DAMEN AVE ,BUDACKI'S DRIVE IN,Restaurant,2019-09-12,2312208,License,41.96807497181902,2678018.0,-87.67901960462584,Not Ready,Risk 1 (High),0,,
6006-6018 S PULASKI RD ,LIZ-NEY-LAND LEARNING CENTER,Daycare Above and Under 2 Years,2019-09-12,2312191,License Re-Inspection,41.783903330018894,2289372.0,-87.72305539575359,Pass,Risk 1 (High),3,,
3202 N Broadway ,MOMO FACTORY,Restaurant,2019-09-12,2312139,License Re-Inspection,41.94015821312763,2689644.0,-87.64455028174727,Pass,Risk 1 (High),3,,
1366 W FULLERTON AVE ,SYMPHONY OF LINCOLN PARK,Long Term Care,2019-09-12,2312166,Canvass,41.925330555308214,2446871.0,-87.66312243534863,Fail,Risk 1 (High),14,,
2222 N KEDZIE BLVD ,SMART LOVE FAMILY SERVICES,Daycare (2 - 6 Years),2019-09-12,2312188,Canvass,41.92183537278567,2446479.0,-87.70727253450848,Pass,Risk 1 (High),0,,
6117 S KEDZIE AVE ,SOUTHWEST SENIOR CENTER / GOLDEN DINER,Golden Diner,2019-09-12,2312162,Canvass,41.78209814085317,2224822.0,-87.70307836593555,Fail,Risk 1 (High),5,,
12801-12803 S HALSTED ST ,CHILDREN'S CENTER INC,Daycare Above and Under 2 Years,2019-09-12,2312150,License,41.661326016281905,2215544.0,-87.64121030558698,Pass w/ Conditions,Risk 1 (High),2,,
1116-1120 W GRANVILLE AVE ,FLACO'S TACOS,Restaurant,2019-09-12,2312197,Short Form Complaint,41.99467730922356,2451378.0,-87.65903118070459,Pass w/ Conditions,Risk 1 (High),1,,
1015 W 87TH ST ,7 SEAS DOLLAR & FOOD,Grocery Store,2019-09-12,2312218,Canvass,41.735883858312064,2555908.0,-87.64913691423969,Out of Business,Risk 3 (Low),0,,
1753 N MILWAUKEE AVE ,ALDI INC #64,Grocery Store,2019-09-12,2312224,Complaint Re-Inspection,41.91334246823247,13976.0,-87.68182248081257,Fail,Risk 3 (Low),7,,
4351 N ELSTON AVE ,NORTHSIDE GRILL,Restaurant,2019-09-12,2312152,Canvass,41.95979250151515,2404396.0,-87.72783183969106,Fail,Risk 1 (High),15,,
1101 W BRYN MAWR AVE ,SUBWAY,Restaurant,2019-09-12,2312137,Complaint,41.98354699451272,2121132.0,-87.65810608824604,Pass w/ Conditions,Risk 1 (High),2,,
2337 N MILWAUKEE AVE FL 1,2337 MILWAUKEE,EVENT SPACE,2019-09-12,2312161,License,41.92375996879354,2689052.0,-87.69851607944803,Fail,Risk 3 (Low),0,,
70 W MADISON ST ,THE LUNCHROOM,Restaurant,2019-09-12,2312196,License,41.88209336730132,2677463.0,-87.63039164462683,Pass,Risk 1 (High),0,,
5115-5121 S HARPER AVE ,RED FISH BLEU FISH,Restaurant,2019-09-12,2312194,Complaint,41.80195099472944,2583393.0,-87.58899848830143,Pass,Risk 1 (High),6,,
209 W JACKSON BLVD ,Starbucks Coffee#2229,Restaurant,2019-09-12,2312229,License,41.87800606262711,2689575.0,-87.63402203216755,Not Ready,Risk 2 (Medium),0,,
1540 W NORTH AVE. FL. 1 BLDG ,THE LOTUS BLACK,Restaurant,2019-09-12,2312149,License Re-Inspection,41.910751865596865,2665376.0,-87.66689090396886,Pass w/ Conditions,Risk 1 (High),6,,
1524 W FULLERTON AVE ,CAIRO KEBOB,Restaurant,2019-09-12,2312215,Canvass,41.92528006794063,2496025.0,-87.66677400880488,Fail,Risk 1 (High),18,,
2501 W 71ST ST ,MOTHER'S TOUCH DAY CARE,Daycare (Under 2 Years),2019-09-12,2312174,License,41.764547157441456,2215610.0,-87.68574595379715,Pass,Risk 1 (High),3,,
4140 N Marine DR ,DISNEY MAGNET,School,2019-09-12,2312179,Canvass,41.95680712260342,29401.0,-87.64611750224417,Pass,Risk 1 (High),7,,
5857 S KEDZIE AVE ,LA BAGUETTE BAKERY,Restaurant,2019-09-12,2312142,Canvass,41.78639755002676,2615645.0,-87.70320568633966,Pass w/ Conditions,Risk 2 (Medium),5,,
5852 W DIVERSEY AVE ,LOS SAUCES GROCERY,Grocery Store,2019-09-12,2312157,Canvass,41.93128820014796,1223250.0,-87.77324145325424,Fail,Risk 1 (High),10,,
700-702 N WELLS ST ,,,2019-09-12,2312158,License,41.89483049188808,2683657.0,-87.63430053853016,Not Ready,Risk 1 (High),0,,
1015 W 87TH ST ,7 SEAS FOOD & DELI INC.,Grocery Store,2019-09-12,2312214,License Re-Inspection,41.735883858312064,2689945.0,-87.64913691423969,Pass w/ Conditions,Risk 1 (High),11,,
2741 N ELSTON AVE ,FOREVER YOGURT,Restaurant,2019-09-12,2312204,Complaint Re-Inspection,41.931465996205475,2637301.0,-87.68656175913836,Pass w/ Conditions,Risk 1 (High),8,,
947 W WELLINGTON AVE ,SHAWARMA STOP,Restaurant,2019-09-11,2312090,Complaint Re-Inspection,41.9361719122101,2608171.0,-87.65340849377955,Pass,Risk 1 (High),1,,
5516 S Maplewood (2532W) AVE ,Carson (Old),School,2019-09-11,2312072,Canvass,,22601.0,,Fail,Risk 1 (High),5,,
2845 W DEVON AVE ,CROATIAN CULTURAL CENTER OF CHICAGO,Restaurant,2019-09-11,2312134,Canvass,41.997419715008114,31782.0,-87.70142268157917,Pass,Risk 1 (High),3,,
6012 W FULLERTON AVE ,MONTEALBAN,Restaurant,2019-09-11,2312101,Canvass Re-Inspection,41.92392648360924,2492802.0,-87.77632683025247,Fail,Risk 1 (High),10,,
5955 W FULLERTON AVE ,JOHN'S LIVE POULTRY,LIVE POULTRY,2019-09-11,2312085,Complaint Re-Inspection,41.92372038645528,2304758.0,-87.77549546183954,Pass,Risk 2 (Medium),0,,
3801-3805 N BROADWAY ,PANCAKE CAFE,Restaurant,2019-09-11,2312084,Canvass Re-Inspection,41.95127391161999,2589605.0,-87.64947156399771,Fail,Risk 1 (High),4,,
6525 W DIVERSEY AVE ,TARGET,Grocery Store,2019-09-11,2312061,Canvass Re-Inspection,41.930833915239724,1516376.0,-87.78913378754395,Fail,Risk 2 (Medium),3,,
311 S WACKER DR ,SKY DINE 311,Restaurant,2019-09-11,2312130,Canvass,41.877791648104406,1991748.0,-87.63652434443534,Fail,Risk 2 (Medium),9,,
1962 N HALSTED ST ,OYSTER ON HALSTED,Restaurant,2019-09-11,2312122,Complaint,41.91775186077485,2412516.0,-87.64863789225483,Pass,Risk 1 (High),7,0.0,1.0
3500 W 59TH ST ,"PALETERIA LA  MICHOACANA 1, INC.",Restaurant,2019-09-11,2312108,Canvass,41.786241182983545,2429057.0,-87.71077772448048,Fail,Risk 2 (Medium),12,,
4340 N LINCOLN AVE ,LOU MALNATI'S PIZZERIA,Restaurant,2019-09-11,2312117,Canvass,41.96074324981876,2368244.0,-87.68354840044977,Pass w/ Conditions,Risk 1 (High),2,,
1615 N Damen AVE ,DIMO'S PIZZA SIX CORNERS,Restaurant,2019-09-11,2080221,Canvass,41.91091779442157,2229533.0,-87.67732639626594,Fail,Risk 1 (High),21,,
2237-2239 W LAWRENCE AVE ,ADLER SCHOOL INC,Children's Services Facility,2019-09-11,2312054,License Re-Inspection,41.96855383100768,2355266.0,-87.68548253142126,Pass w/ Conditions,Risk 1 (High),4,,
2618 N CLARK ST ,SNOW DRAGON,Restaurant,2019-09-11,2312092,Complaint Re-Inspection,41.930082886392576,2373877.0,-87.64368253576015,Pass,Risk 2 (Medium),3,,
2535-2537 W PETERSON AVE ,BLACK SHEEP,Restaurant,2019-09-11,2312099,Canvass,41.9903656885798,25946.0,-87.69353289993734,Pass w/ Conditions,Risk 1 (High),9,,
158 N LARAMIE AVE ,AROUND THE WAY MINI MART,Grocery Store,2019-09-11,2312131,Canvass,41.88396660904719,2529296.0,-87.75534386759125,Pass,Risk 2 (Medium),2,,
311 S WACKER DR ,SKY DINE 311,Restaurant,2019-09-11,2312132,License,41.877791648104406,2670530.0,-87.63652434443534,Fail,Risk 3 (Low),0,,
503 E 47TH ST ,MIKKEYS 47 EXPRESS LLC,Restaurant,2019-09-11,2312110,License Re-Inspection,41.809317684345686,2678083.0,-87.61371443505487,Pass w/ Conditions,Risk 1 (High),3,,
5341 S KEDZIE AVE ,"MANOLOS TAMALES, INC. #1",Restaurant,2019-09-11,2312121,Complaint,41.79595669469915,1873308.0,-87.70347960433394,Fail,Risk 1 (High),15,,
2157 N DAMEN AVE ,KALEIDOKIDS,Daycare Above and Under 2 Years,2019-09-11,2312094,License Re-Inspection,41.92130255901957,2529177.0,-87.6776025633453,Pass,Risk 1 (High),7,,
5114 W Fullerton AVE ,Kim Long Restaurant,Restaurant,2019-09-11,2312135,Canvass,41.92424241716219,2195981.0,-87.7543435031838,Fail,Risk 1 (High),14,,
1061 W ARGYLE ST ,DOUBLE HAPPINESS,Restaurant,2019-09-11,2312078,Complaint,41.97316839903074,27480.0,-87.65736357565744,Pass w/ Conditions,Risk 1 (High),7,,
5407-5417 W MONTROSE AVE ,MONTROSE DELI,Grocery Store,2019-09-11,2312102,License,41.96042826406875,2683428.0,-87.7626656720388,Not Ready,Risk 1 (High),0,,
600 W CHICAGO AVE ,,,2019-09-11,2312056,License,41.89658519119956,2689940.0,-87.64299618172501,Not Ready,Risk 2 (Medium),0,,
8530 S Wood (1800W) ,FOSTER PARK ELEMENTARY SCHOOL,School,2019-09-11,2312074,Canvass,41.73842619798185,23261.0,-87.66813597481287,Pass,Risk 1 (High),2,,
3415 W ARTHINGTON ST ,HOLY FAMILY LUTHERAN SCHOOL,School,2019-09-11,2312080,Canvass,41.86988498075887,2040649.0,-87.7113088987269,Pass,Risk 1 (High),0,,
1924 W IRVING PARK RD ,OJ BREAKFAST LUNCH & BRUNCH,,2019-09-11,2312079,License,41.95428475504035,2689957.0,-87.67735575098257,Not Ready,Risk 1 (High),0,,
6319 W BELMONT AVE ,WONDERLAND DAY CARE,Children's Services Facility,2019-09-11,2312060,License,41.93823374859654,2215620.0,-87.78428872410744,Pass,Risk 1 (High),0,,
2823 N LINCOLN AVE ,COFFEE LAB & ROASTERS,Restaurant,2019-09-11,2312058,License,41.93317720763094,2683446.0,-87.65936357447279,Pass,Risk 2 (Medium),0,,
4352 N LEAVITT ST ,TINY LOUNGE,Restaurant,2019-09-11,2312063,Canvass,41.96112142040857,1823622.0,-87.68396862492989,Out of Business,Risk 1 (High),0,,
4651 W Madison ST ,Acad. Of Scholastic Ach,School,2019-09-11,2312103,Canvass,41.88042012730968,69457.0,-87.74250355816393,Pass,Risk 2 (Medium),0,,
3624 W WRIGHTWOOD AVE ,NECESSARY & SUFFICIENT COFFEE,Restaurant,2019-09-11,2312069,License,41.928351529514096,2677227.0,-87.71809710408121,Fail,Risk 1 (High),9,,
3656 N ASHLAND AVE ,BULERIAS TAPAS BAR,Restaurant,2019-09-11,2312125,Canvass,41.948664225929576,2177836.0,-87.66905078783823,Pass w/ Conditions,Risk 1 (High),12,,
8058 S HALSTED ST ,"ITALIAN FIESTA PIZZERIA, INC",Restaurant,2019-09-11,2312124,Canvass Re-Inspection,41.747086098940834,31036.0,-87.6440843829303,Pass,Risk 1 (High),0,,
2300 S THROOP ST ,THE CAJUN CONNOISSEUR LLC,Mobile Food Preparer,2019-09-11,2312106,License Re-Inspection,41.85045102427,2405902.0,-87.65879785567869,Pass,Risk 2 (Medium),1,,
4908 N DAMEN AVE ,RAVENSWOOD COMMUNITY DAYCARE,Children's Services Facility,2019-09-11,2312062,License,41.97088859749236,2215809.0,-87.67939623289391,Fail,Risk 1 (High),5,,
4014 N ROCKWELL ST ,BURNING BUSH,,2019-09-11,2312109,License,41.95448279958213,2652697.0,-87.69338560917272,No Entry,All,0,,
2005 W ROSCOE ST ,KITSCH'N ON ROSCOE,Restaurant,2019-09-11,2312066,Canvass,41.943104563544715,68487.0,-87.67867885196077,Fail,Risk 1 (High),11,,
735 W DIVERSEY PKWY ,LAKEVIEW REHABILITATION AND NURSING CENTER,Long Term Care,2019-09-11,2312082,Canvass,41.93263163257331,2245580.0,-87.64797278441709,Fail,Risk 1 (High),7,,
225 W WACKER DR ,CRAFTY CAFE,Restaurant,2019-09-11,2312059,License,41.88670922202607,2689277.0,-87.63471089945948,Not Ready,,0,,
7931 S Honore (1832W) ,JOPLIN ELEMENTARY SCHOOL,School,2019-09-10,2311991,Canvass,41.749340824311474,22281.0,-87.66932902916794,Pass,Risk 1 (High),2,,
